"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2020";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2020"
"Overbetuwe";141;724
"Papendrecht";135;223
"Peel en Maas";36;311
"Pekela";6;49
"Pijnacker-Nootdorp";201;758
"Purmerend";198;848
"Putten";36;378
"Raalte";64;369
"Reimerswaal";27;201
"Renkum";73;421
"Renswoude";14;75
"Reusel-De Mierden";8;96
"Rheden";148;580
"Rhenen";36;161
"Ridderkerk";217;419
"Rijssen-Holten";106;375
"Rijswijk";191;1375
"Roerdalen";15;129
"Roermond";145;439
"Roosendaal";104;565
"Rotterdam";3846;5334
"Rozendaal";7;32
"Rucphen";26;148
"Schagen";143;542
"Scherpenzeel";21;87
"Schiedam";236;503
"Schiermonnikoog";2;27
"Schouwen-Duiveland";191;429
"'s-Hertogenbosch";768;2676
"Simpelveld";5;46
"Sint-Michielsgestel";62;282
"Sittard-Geleen";187;1032
"Sliedrecht";108;215
"Sluis";107;294
"Smallingerland";132;1833
"Soest";156;525
"Someren";16;146
"Son en Breugel";18;150
"Stadskanaal";13;183
"Staphorst";48;83
"Stede Broec";27;139
"Steenbergen";51;173
"Steenwijkerland";81;398
"Stein";63;102
"Stichtse Vecht";283;1148
"Súdwest-Fryslân";100;751
"Terneuzen";134;361
"Terschelling";56;109
"Texel";101;279
"Teylingen";139;1275
"Tholen";63;239
"Tiel";181;800
"Tilburg";935;5169
"Tubbergen";35;231
"Twenterand";27;146
"Tynaarlo";61;2195
"Tytsjerksteradiel";32;279
"Uitgeest";62;117
"Uithoorn";133;353
"Urk";35;132
"Utrecht";2374;7162
"Utrechtse Heuvelrug";191;688
"Vaals";19;63
"Valkenburg aan de Geul";41;230
"Valkenswaard";38;313
"Veendam";23;133
"Veenendaal";280;681
"Veere";208;282
"Veldhoven";93;306
"Velsen";207;606
"Venlo";246;918
"Venray";102;308
"Vijfheerenlanden";231;665
"Vlaardingen";240;417
"Vlieland";1;17
"Vlissingen";64;266
"Voerendaal";3;91
"Voorne aan Zee";269;731
"Voorschoten";79;178
"Voorst";58;222
"Vught";160;356
"Waadhoeke";30;345
"Waalre";38;204
"Waalwijk";176;451
"Waddinxveen";132;433
"Wageningen";143;352
"Wassenaar";102;413
"Waterland";86;304
"Weert";83;352
"West Betuwe";185;4705
"West Maas en Waal";8;216
"Westerkwartier";105;622
"Westerveld";43;213
"Westervoort";5;153
"Westerwolde";24;129
"Westland";468;1233
"Weststellingwerf";29;181
"Wierden";35;681
"Wijchen";124;434
"Wijdemeren";53;217
"Wijk bij Duurstede";26;274
"Winterswijk";36;272
"Woensdrecht";48;135
"Woerden";335;613
"Wormerland";66;172
"Woudenberg";37;221
"Zaanstad";539;1273
"Zaltbommel";102;306
"Zandvoort";76;197
"Zeewolde";88;230
"Zeist";382;1197
"Zevenaar";124;388
"Zoetermeer";530;1124
"Zoeterwoude";50;91
"Zuidplas";150;528
"Zundert";32;145
"Zutphen";145;397
"Zwartewaterland";62;204
"Zwijndrecht";115;318
"Zwolle";562;1143
"Onbekend";"";166
