"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2023";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2023"
"Aa en Hunze";108;793
"Aalsmeer";413;1094
"Aalten";134;574
"Achtkarspelen";63;470
"Alblasserdam";121;480
"Albrandswaard";247;761
"Alkmaar";1183;4672
"Almelo";358;1335
"Almere";1957;31978
"Alphen aan den Rijn";1162;3037
"Alphen-Chaam";58;264
"Altena";274;1451
"Ameland";54;311
"Amersfoort";1806;25965
"Amstelveen";1430;3285
"Amsterdam";12149;38215
"Apeldoorn";1123;4252
"Arnhem";1604;3923
"Assen";411;1416
"Asten";76;400
"Baarle-Nassau";21;162
"Baarn";118;756
"Barendrecht";729;1496
"Barneveld";548;1586
"Beek";113;309
"Beekdaelen";119;695
"Beesel";32;207
"Berg en Dal";161;821
"Bergeijk";88;423
"Bergen (L.)";63;314
"Bergen (NH.)";327;877
"Bergen op Zoom";517;1303
"Berkelland";138;899
"Bernheze";167;809
"Best";393;748
"Beuningen";106;621
"Beverwijk";265;859
"Bladel";127;627
"Blaricum";72;530
"Bloemendaal";149;828
"Bodegraven-Reeuwijk";356;1081
"Boekel";46;289
"Borger-Odoorn";85;636
"Borne";151;477
"Borsele";172;845
"Boxtel";242;733
"Breda";1851;31663
"Bronckhorst";118;1148
"Brummen";93;563
"Brunssum";114;321
"Bunnik";201;566
"Bunschoten";107;450
"Buren";146;846
"Capelle aan den IJssel";741;1407
"Castricum";273;912
"Coevorden";98;688
"Cranendonck";97;438
"Culemborg";321;752
"Dalfsen";137;636
"Dantumadiel";14;273
"De Bilt";312;1210
"De Fryske Marren";195;1581
"De Ronde Venen";323;1422
"De Wolden";93;487
"Delft";897;1944
"Den Haag";6350;16241
"Den Helder";289;1002
"Deurne";174;703
"Deventer";792;2089
"Diemen";336;673
"Dijk en Waard";568;2306
"Dinkelland";119;844
"Doesburg";38;281
"Doetinchem";267;1371
"Dongen";171;567
"Dordrecht";1135;4465
"Drechterland";60;521
"Drimmelen";193;607
"Dronten";229;1339
"Druten";70;445
"Duiven";376;743
"Echt-Susteren";131;566
"Edam-Volendam";215;939
"Ede";1001;4022
"Eemnes";142;294
"Eemsdelta";201;776
"Eersel";206;722
"Eijsden-Margraten";76;491
"Eindhoven";2549;14248
"Elburg";136;487
"Emmen";404;1585
"Enkhuizen";106;301
"Enschede";852;2632
"Epe";199;812
"Ermelo";184;559
"Etten-Leur";323;950
"Geertruidenberg";218;510
"Geldrop-Mierlo";305;1144
"Gemert-Bakel";136;777
"Gennep";145;359
"Gilze en Rijen";211;573
"Goeree-Overflakkee";569;1427
"Goes";310;1519
"Goirle";202;536
"Gooise Meren";607;1947
"Gorinchem";355;967
"Gouda";640;1241
"Groningen";1560;8564
"Gulpen-Wittem";101;336
"Haaksbergen";133;441
"Haarlem";1174;3807
"Haarlemmermeer";2134;49984
"Halderberge";131;790
