"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2023";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2023"
"Hardenberg";384;1106
"Harderwijk";663;1091
"Hardinxveld-Giessendam";186;316
"Harlingen";97;339
"Hattem";74;296
"Heemskerk";191;786
"Heemstede";119;723
"Heerde";98;389
"Heerenveen";396;1559
"Heerlen";620;1368
"Heeze-Leende";77;454
"Heiloo";172;645
"Hellendoorn";175;820
"Helmond";466;1919
"Hendrik-Ido-Ambacht";262;682
"Hengelo";585;3734
"Het Hogeland";175;898
"Heumen";94;410
"Heusden";291;1223
"Hillegom";108;669
"Hilvarenbeek";99;598
"Hilversum";858;3438
"Hoeksche Waard";783;2615
"Hof van Twente";149;993
"Hollands Kroon";215;1200
"Hoogeveen";276;864
"Hoorn";537;1502
"Horst aan de Maas";285;1253
"Houten";537;22103
"Huizen";298;940
"Hulst";102;604
"IJsselstein";254;698
"Kaag en Braassem";230;1046
"Kampen";347;965
"Kapelle";125;360
"Katwijk";588;1462
"Kerkrade";262;530
"Koggenland";116;563
"Krimpen aan den IJssel";248;629
"Krimpenerwaard";382;1549
"Laarbeek";113;531
"Land van Cuijk";453;2237
"Landgraaf";202;595
"Landsmeer";81;344
"Lansingerland";854;2174
"Laren";63;458
"Leeuwarden";689;3027
"Leiden";1125;2151
"Leiderdorp";412;598
"Leidschendam-Voorburg";812;1664
"Lelystad";681;2225
"Leudal";140;741
"Leusden";348;852
"Lingewaard";232;1104
"Lisse";121;694
"Lochem";173;1086
"Loon op Zand";418;642
"Lopik";79;348
"Losser";106;748
"Maasdriel";117;750
"Maasgouw";64;501
"Maashorst";467;2174
"Maassluis";275;575
"Maastricht";1092;1726
"Medemblik";262;1218
"Meerssen";66;378
"Meierijstad";633;2205
"Meppel";308;636
"Middelburg";356;1005
"Midden-Delfland";207;554
"Midden-Drenthe";122;781
"Midden-Groningen";203;1103
"Moerdijk";357;1006
"Molenlanden";261;1276
"Montferland";116;922
"Montfoort";81;337
"Mook en Middelaar";48;251
"Neder-Betuwe";127;611
"Nederweert";92;401
"Nieuwegein";1339;1531
"Nieuwkoop";244;878
"Nijkerk";430;1191
"Nijmegen";1262;3318
"Nissewaard";717;2138
"Noardeast-Fryslân";139;749
"Noord-Beveland";172;341
"Noordenveld";111;886
"Noordoostpolder";232;1400
"Noordwijk";385;1375
"Nuenen, Gerwen en Nederwetten";236;962
"Nunspeet";200;604
"Oegstgeest";240;659
"Oirschot";130;439
"Oisterwijk";218;943
"Oldambt";120;667
"Oldebroek";86;466
"Oldenzaal";207;788
"Olst-Wijhe";65;410
"Ommen";118;523
"Oost Gelre";201;633
"Oosterhout";657;1765
"Ooststellingwerf";146;585
"Oostzaan";80;315
"Opmeer";45;305
"Opsterland";168;830
"Oss";572;2156
"Oude IJsselstreek";214;761
"Ouder-Amstel";186;3456
"Oudewater";52;267
"Overbetuwe";282;1710
"Papendrecht";250;706
"Peel en Maas";174;822
"Pekela";12;158
"Pijnacker-Nootdorp";495;1908
"Purmerend";543;2309
"Putten";193;564
"Raalte";196;1018
"Reimerswaal";122;679
"Renkum";95;939
"Renswoude";36;159
"Reusel-De Mierden";38;256
"Rheden";223;1335
"Rhenen";109;412
"Ridderkerk";518;1071
"Rijssen-Holten";250;983
"Rijswijk";641;1399
"Roerdalen";50;373
"Roermond";468;1096
"Roosendaal";466;1520
"Rotterdam";8106;13479
"Rozendaal";10;99
"Rucphen";81;513
"Schagen";369;1306
"Scherpenzeel";105;229
"Schiedam";718;1581
"Schiermonnikoog";2;31
"Schouwen-Duiveland";455;1053
"'s-Hertogenbosch";2126;6451
"Simpelveld";43;175
"Sint-Michielsgestel";171;725
"Sittard-Geleen";419;2211
"Sliedrecht";250;532
"Sluis";397;656
"Smallingerland";282;3600
"Soest";303;1429
"Someren";86;466
"Son en Breugel";77;374
"Stadskanaal";76;521
"Staphorst";96;247
"Stede Broec";61;405
"Steenbergen";167;551
"Steenwijkerland";315;1042
"Stein";118;409
"Stichtse Vecht";451;1962
"Súdwest-Fryslân";432;1883
"Terneuzen";349;1067
"Terschelling";39;196
"Texel";195;623
"Teylingen";217;1591
"Tholen";189;681
"Tiel";368;1852
"Tilburg";2217;12347
"Tubbergen";81;670
"Twenterand";141;466
"Tynaarlo";142;3846
"Tytsjerksteradiel";93;662
"Uitgeest";125;333
"Uithoorn";213;1614
"Urk";101;368
"Utrecht";5032;11898
"Utrechtse Heuvelrug";339;1545
"Vaals";40;150
"Valkenburg aan de Geul";94;621
"Valkenswaard";153;778
"Veendam";65;439
"Veenendaal";597;1491
"Veere";356;638
"Veldhoven";269;893
"Velsen";532;1326
"Venlo";882;1985
"Venray";318;893
"Vijfheerenlanden";488;1940
"Vlaardingen";561;1193
"Vlieland";3;22
"Vlissingen";273;714
"Voerendaal";53;246
"Voorne aan Zee";622;1952
"Voorschoten";198;487
"Voorst";138;565
"Vught";364;881
"Waadhoeke";123;990
"Waalre";72;484
"Waalwijk";493;1145
"Waddinxveen";307;904
"Wageningen";319;746
"Wassenaar";251;906
"Waterland";131;534
"Weert";303;909
"West Betuwe";381;1572
"West Maas en Waal";38;522
"Westerkwartier";272;1451
"Westerveld";122;569
"Westervoort";31;150
"Westerwolde";52;379
"Westland";1091;3101
"Weststellingwerf";87;465
"Wierden";104;2383
"Wijchen";250;1124
"Wijdemeren";98;517
"Wijk bij Duurstede";65;633
"Winterswijk";110;576
"Woensdrecht";106;485
"Woerden";693;1458
"Wormerland";100;402
"Woudenberg";68;469
"Zaanstad";1010;3152
"Zaltbommel";264;773
"Zandvoort";88;399
"Zeewolde";241;666
"Zeist";683;2220
"Zevenaar";231;995
"Zoetermeer";1007;3011
"Zoeterwoude";141;243
"Zuidplas";405;1464
"Zundert";94;461
"Zutphen";318;935
"Zwartewaterland";183;563
"Zwijndrecht";368;837
"Zwolle";1496;3086
"Onbekend";"";72
