"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2022";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2022"
"Hoorn";413;1197
"Horst aan de Maas";173;892
"Houten";530;13223
"Huizen";238;754
"Hulst";78;458
"IJsselstein";196;534
"Kaag en Braassem";193;784
"Kampen";195;742
"Kapelle";95;287
"Katwijk";427;1172
"Kerkrade";195;411
"Koggenland";74;445
"Krimpen aan den IJssel";192;498
"Krimpenerwaard";300;1229
"Laarbeek";92;398
"Land van Cuijk";346;1724
"Landgraaf";105;469
"Landsmeer";61;256
"Lansingerland";641;1668
"Laren";57;367
"Leeuwarden";619;2392
"Leiden";843;1634
"Leiderdorp";295;455
"Leidschendam-Voorburg";669;1256
"Lelystad";572;1568
"Leudal";91;560
"Leusden";286;599
"Lingewaard";151;851
"Lisse";114;519
"Lochem";100;858
"Loon op Zand";308;499
"Lopik";44;277
"Losser";49;642
"Maasdriel";84;542
"Maasgouw";46;379
"Maashorst";348;1781
"Maassluis";218;437
"Maastricht";757;1321
"Medemblik";166;913
"Meerssen";53;291
"Meierijstad";436;1596
"Meppel";154;509
"Middelburg";323;796
"Midden-Delfland";166;432
"Midden-Drenthe";95;602
"Midden-Groningen";73;840
"Moerdijk";254;764
"Molenlanden";298;989
"Montferland";97;723
"Montfoort";57;247
"Mook en Middelaar";30;193
"Neder-Betuwe";93;461
"Nederweert";47;305
"Nieuwegein";898;1199
"Nieuwkoop";179;719
"Nijkerk";262;851
"Nijmegen";924;2478
"Nissewaard";545;1514
"Noardeast-Fryslân";133;584
"Noord-Beveland";143;297
"Noordenveld";92;700
"Noordoostpolder";179;917
"Noordwijk";325;1085
"Nuenen, Gerwen en Nederwetten";157;714
"Nunspeet";148;504
"Oegstgeest";193;508
"Oirschot";83;332
"Oisterwijk";184;721
"Oldambt";77;467
"Oldebroek";57;303
"Oldenzaal";124;562
"Olst-Wijhe";46;333
"Ommen";83;403
"Oost Gelre";148;461
"Oosterhout";478;1254
"Ooststellingwerf";84;480
"Oostzaan";104;237
"Opmeer";34;233
"Opsterland";137;647
"Oss";379;1624
"Oude IJsselstreek";122;595
"Ouder-Amstel";192;2776
"Oudewater";44;197
"Overbetuwe";209;1312
"Papendrecht";172;491
"Peel en Maas";126;635
"Pekela";8;123
"Pijnacker-Nootdorp";375;1448
"Purmerend";427;1766
"Putten";166;465
"Raalte";132;722
"Reimerswaal";96;515
"Renkum";108;750
"Renswoude";38;125
"Reusel-De Mierden";26;181
"Rheden";200;1045
"Rhenen";92;331
"Ridderkerk";437;844
"Rijssen-Holten";220;727
"Rijswijk";449;1051
"Roerdalen";36;270
"Roermond";302;852
"Roosendaal";363;1166
"Rotterdam";6718;10018
"Rozendaal";6;70
"Rucphen";53;374
"Schagen";295;1057
"Scherpenzeel";84;173
"Schiedam";612;1135
"Schiermonnikoog";2;30
"Schouwen-Duiveland";384;857
"'s-Hertogenbosch";1470;5007
"Simpelveld";12;124
"Sint-Michielsgestel";129;552
"Sittard-Geleen";357;1799
"Sliedrecht";183;391
"Sluis";336;540
"Smallingerland";248;3119
"Soest";260;1100
"Someren";59;339
"Son en Breugel";46;290
"Stadskanaal";41;383
"Staphorst";57;175
"Stede Broec";39;315
"Steenbergen";125;418
"Steenwijkerland";202;839
"Stein";91;301
"Stichtse Vecht";417;1476
"Súdwest-Fryslân";266;1455
"Terneuzen";288;795
"Terschelling";48;173
"Texel";167;606
"Teylingen";216;1342
"Tholen";138;530
"Tiel";277;1493
"Tilburg";1704;9084
"Tubbergen";45;514
"Twenterand";70;336
"Tynaarlo";102;3478
"Tytsjerksteradiel";63;503
"Uitgeest";101;276
"Uithoorn";185;705
"Urk";79;307
"Utrecht";4354;11668
"Utrechtse Heuvelrug";313;1244
"Vaals";30;122
"Valkenburg aan de Geul";78;504
"Valkenswaard";84;619
"Veendam";43;297
"Veenendaal";441;1316
"Veere";334;510
"Veldhoven";201;667
"Velsen";366;1069
"Venlo";691;1583
"Venray";208;637
"Vijfheerenlanden";427;1307
"Vlaardingen";444;914
"Vlieland";3;18
"Vlissingen";170;540
"Voerendaal";25;180
"Voorne aan Zee";451;1510
"Voorschoten";175;377
"Voorst";100;430
"Vught";289;702
"Waadhoeke";96;801
"Waalre";52;374
"Waalwijk";399;930
"Waddinxveen";263;699
"Wageningen";274;595
"Wassenaar";240;742
"Waterland";136;418
"Weert";206;672
"West Betuwe";285;9928
"West Maas en Waal";10;404
"Westerkwartier";201;1162
"Westerveld";109;441
"Westervoort";21;117
"Westerwolde";36;288
"Westland";881;2399
"Weststellingwerf";51;339
"Wierden";63;1478
"Wijchen";214;857
"Wijdemeren";72;373
"Wijk bij Duurstede";49;488
"Winterswijk";89;496
"Woensdrecht";95;374
"Woerden";591;1138
"Wormerland";89;298
"Woudenberg";61;401
"Zaanstad";808;2411
"Zaltbommel";190;619
"Zandvoort";81;330
"Zeewolde";148;498
"Zeist";589;1706
"Zevenaar";205;818
"Zoetermeer";865;2226
"Zoeterwoude";113;177
"Zuidplas";299;1124
"Zundert";60;322
"Zutphen";253;771
"Zwartewaterland";120;444
"Zwijndrecht";224;649
"Zwolle";1156;2266
"Onbekend";"";170
