"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2022";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2022"
"Aa en Hunze";81;617
"Aalsmeer";347;819
"Aalten";111;467
"Achtkarspelen";45;379
"Alblasserdam";117;358
"Albrandswaard";167;576
"Alkmaar";975;3626
"Almelo";279;1052
"Almere";1581;22544
"Alphen aan den Rijn";961;2372
"Alphen-Chaam";45;221
"Altena";196;1096
"Ameland";35;283
"Amersfoort";1502;20329
"Amstelveen";1205;2599
"Amsterdam";9613;31069
"Apeldoorn";897;3418
"Arnhem";1211;3189
"Assen";296;1149
"Asten";52;302
"Baarle-Nassau";14;103
"Baarn";106;613
"Barendrecht";526;1116
"Barneveld";435;1300
"Beek";96;198
"Beekdaelen";93;541
"Beesel";20;155
"Berg en Dal";115;633
"Bergeijk";82;324
"Bergen (L.)";60;227
"Bergen (NH.)";249;713
"Bergen op Zoom";344;1018
"Berkelland";68;687
"Bernheze";131;585
"Best";266;534
"Beuningen";74;493
"Beverwijk";173;672
"Bladel";95;409
"Blaricum";65;367
"Bloemendaal";117;667
"Bodegraven-Reeuwijk";283;876
"Boekel";35;218
"Borger-Odoorn";71;471
"Borne";73;361
"Borsele";129;701
"Boxtel";198;542
"Breda";1708;24020
"Bronckhorst";77;923
"Brummen";63;427
"Brunssum";45;253
"Bunnik";151;452
"Bunschoten";86;386
"Buren";82;652
"Capelle aan den IJssel";615;1325
"Castricum";219;738
"Coevorden";63;545
"Cranendonck";72;337
"Culemborg";231;563
"Dalfsen";74;527
"Dantumadiel";12;209
"De Bilt";234;955
"De Fryske Marren";143;1151
"De Ronde Venen";281;1080
"De Wolden";78;376
"Delft";934;1545
"Den Haag";5899;12882
"Den Helder";226;758
"Deurne";85;546
"Deventer";552;1684
"Diemen";317;485
"Dijk en Waard";378;1760
"Dinkelland";81;687
"Doesburg";16;213
"Doetinchem";160;1034
"Dongen";115;449
"Dordrecht";820;3433
"Drechterland";46;399
"Drimmelen";122;467
"Dronten";169;1024
"Druten";57;338
"Duiven";346;558
"Echt-Susteren";107;444
"Edam-Volendam";145;758
"Ede";828;2831
"Eemnes";108;222
"Eemsdelta";121;605
"Eersel";140;540
"Eijsden-Margraten";53;361
"Eindhoven";1853;4917
"Elburg";65;425
"Emmen";345;1216
"Enkhuizen";86;248
"Enschede";601;2115
"Epe";141;628
"Ermelo";111;438
"Etten-Leur";193;724
"Geertruidenberg";161;393
"Geldrop-Mierlo";197;861
"Gemert-Bakel";102;625
"Gennep";82;278
"Gilze en Rijen";156;437
"Goeree-Overflakkee";469;1049
"Goes";257;1299
"Goirle";153;393
"Gooise Meren";483;1507
"Gorinchem";236;763
"Gouda";544;971
"Groningen";1421;6633
"Gulpen-Wittem";70;261
"Haaksbergen";80;324
"Haarlem";966;2961
"Haarlemmermeer";2048;38491
"Halderberge";118;587
"Hardenberg";276;827
"Harderwijk";390;814
"Hardinxveld-Giessendam";89;259
"Harlingen";82;272
"Hattem";56;237
"Heemskerk";162;611
"Heemstede";77;583
"Heerde";93;316
"Heerenveen";306;1244
"Heerlen";376;1066
"Heeze-Leende";52;348
"Heiloo";143;509
"Hellendoorn";128;690
"Helmond";318;1470
"Hendrik-Ido-Ambacht";199;498
"Hengelo";667;3198
"Het Hogeland";116;695
"Heumen";64;301
"Heusden";219;897
"Hillegom";102;456
"Hilvarenbeek";68;439
"Hilversum";689;2719
"Hoeksche Waard";546;1943
"Hof van Twente";96;794
"Hollands Kroon";152;911
"Hoogeveen";223;700
