"Gemeenten";"Totaal aantal (semi)publieke laadpunten voor elektrische auto's|2019";"Batterij-elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|2019"
"Aa en Hunze";17;185
"Aalsmeer";195;299
"Aalten";13;180
"Achtkarspelen";16;126
"Alblasserdam";51;133
"Albrandswaard";114;190
"Alkmaar";500;1126
"Almelo";112;375
"Almere";660;8189
"Alphen aan den Rijn";453;838
"Alphen-Chaam";8;66
"Altena";91;328
"Ameland";16;130
"Amersfoort";673;5048
"Amstelveen";493;778
"Amsterdam";5120;10942
"Apeldoorn";488;1624
"Arnhem";682;1175
"Assen";96;365
"Asten";10;109
"Baarle-Nassau";8;28
"Baarn";53;210
"Barendrecht";307;333
"Barneveld";217;472
"Beek";33;88
"Beekdaelen";32;139
"Beesel";10;43
"Berg en Dal";59;267
"Bergeijk";9;123
"Bergen (L.)";24;58
"Bergen (NH.)";101;270
"Bergen op Zoom";172;313
"Berkelland";36;241
"Bernheze";56;226
"Best";84;194
"Beuningen";37;167
"Beverwijk";110;211
"Bladel";28;161
"Blaricum";39;157
"Bloemendaal";58;277
"Bodegraven-Reeuwijk";90;283
"Boekel";16;83
"Borger-Odoorn";18;155
"Borne";19;128
"Borsele";33;225
"Boxtel";216;199
"Breda";676;9339
"Bronckhorst";35;376
"Brummen";30;119
"Brunssum";26;48
"Bunnik";119;208
"Bunschoten";31;134
"Buren";27;214
"Capelle aan den IJssel";228;482
"Castricum";97;278
"Coevorden";23;166
"Cranendonck";25;117
"Culemborg";90;201
"Dalfsen";42;179
"Dantumadiel";15;51
"De Bilt";158;447
"De Fryske Marren";43;313
"De Ronde Venen";142;424
"De Wolden";30;124
"Delft";365;616
"Den Haag";2722;4187
"Den Helder";88;216
"Deurne";42;160
"Deventer";281;602
"Diemen";167;168
"Dijk en Waard";195;560
"Dinkelland";27;259
"Doesburg";13;82
"Doetinchem";65;453
"Dongen";53;155
"Dordrecht";387;1131
"Drechterland";18;125
"Drimmelen";44;158
"Dronten";75;303
"Druten";40;116
"Duiven";72;210
"Echt-Susteren";34;140
"Edam-Volendam";92;286
"Ede";345;861
"Eemnes";45;95
"Eemsdelta";25;166
"Eersel";87;187
"Eijsden-Margraten";29;105
"Eindhoven";869;1652
"Elburg";31;117
"Emmen";99;331
"Enkhuizen";40;82
"Enschede";238;646
"Epe";29;215
"Ermelo";50;176
"Etten-Leur";98;220
"Geertruidenberg";64;138
"Geldrop-Mierlo";45;303
"Gemert-Bakel";35;212
"Gennep";24;111
"Gilze en Rijen";60;157
"Goeree-Overflakkee";166;370
"Goes";124;458
"Goirle";36;123
"Gooise Meren";228;578
"Gorinchem";113;289
"Gouda";249;300
"Groningen";616;2414
"Gulpen-Wittem";17;74
"Haaksbergen";26;118
"Haarlem";479;1135
"Haarlemmermeer";1168;16185
"Halderberge";33;180
"Hardenberg";81;238
"Harderwijk";133;284
"Hardinxveld-Giessendam";43;60
"Harlingen";29;90
"Hattem";21;104
"Heemskerk";66;201
"Heemstede";60;221
"Heerde";39;108
"Heerenveen";130;578
"Heerlen";128;340
"Heeze-Leende";31;153
"Heiloo";71;181
"Hellendoorn";36;228
"Helmond";155;463
"Hendrik-Ido-Ambacht";127;152
"Hengelo";200;1148
"Het Hogeland";36;270
"Heumen";39;130
"Heusden";74;257
"Hillegom";46;186
"Hilvarenbeek";28;149
"Hilversum";379;1146
"Hoeksche Waard";276;674
"Hof van Twente";48;219
"Hollands Kroon";33;290
"Hoogeveen";62;205
"Hoorn";140;407
"Horst aan de Maas";54;224
"Houten";220;3443
"Huizen";123;278
"Hulst";23;147
"IJsselstein";79;216
"Kaag en Braassem";73;250
"Kampen";78;263
"Kapelle";28;94
"Katwijk";198;424
"Kerkrade";31;124
"Koggenland";21;148
"Krimpen aan den IJssel";99;155
"Krimpenerwaard";130;408
"Laarbeek";30;149
"Land van Cuijk";139;598
"Landgraaf";22;115
"Landsmeer";38;104
"Lansingerland";221;560
"Laren";40;154
"Leeuwarden";319;837
"Leiden";501;641
"Leiderdorp";103;243
"Leidschendam-Voorburg";247;430
"Lelystad";248;704
"Leudal";43;173
"Leusden";131;230
"Lingewaard";61;292
"Lisse";48;160
"Lochem";50;308
"Loon op Zand";108;124
"Lopik";24;97
"Losser";16;206
"Maasdriel";25;181
"Maasgouw";21;151
"Maashorst";114;663
"Maassluis";93;142
"Maastricht";234;476
"Medemblik";61;290
"Meerssen";18;83
"Meierijstad";136;539
"Meppel";47;158
"Middelburg";66;272
"Midden-Delfland";70;168
"Midden-Drenthe";39;168
"Midden-Groningen";27;327
"Moerdijk";90;229
"Molenlanden";78;325
"Montferland";45;273
"Montfoort";35;96
"Mook en Middelaar";9;73
"Neder-Betuwe";43;170
"Nederweert";13;99
"Nieuwegein";452;478
"Nieuwkoop";83;262
"Nijkerk";137;292
"Nijmegen";403;902
"Nissewaard";256;414
"Noardeast-Fryslân";87;199
"Noord-Beveland";39;77
"Noordenveld";33;283
"Noordoostpolder";67;281
"Noordwijk";168;427
"Nuenen, Gerwen en Nederwetten";68;245
"Nunspeet";62;161
"Oegstgeest";79;187
"Oirschot";24;132
"Oisterwijk";72;267
"Oldambt";43;130
"Oldebroek";34;90
"Oldenzaal";40;205
"Olst-Wijhe";13;114
"Ommen";20;125
"Oost Gelre";38;160
"Oosterhout";169;378
"Ooststellingwerf";36;151
"Oostzaan";57;102
"Opmeer";18;80
"Opsterland";45;208
"Oss";115;493
"Oude IJsselstreek";34;226
"Ouder-Amstel";81;1207
"Oudewater";14;80
"Overbetuwe";99;468
"Papendrecht";150;142
"Peel en Maas";21;208
"Pekela";2;42
"Pijnacker-Nootdorp";193;546
"Purmerend";123;677
"Putten";35;177
"Raalte";32;253
"Reimerswaal";23;138
"Renkum";42;304
"Renswoude";7;49
"Reusel-De Mierden";5;75
"Rheden";120;379
"Rhenen";32;115
"Ridderkerk";221;282
"Rijssen-Holten";95;237
"Rijswijk";153;1055
"Roerdalen";18;90
"Roermond";131;271
"Roosendaal";115;481
"Rotterdam";3144;3646
"Rozendaal";5;22
"Rucphen";24;105
"Schagen";104;381
"Scherpenzeel";18;62
"Schiedam";193;338
"Schiermonnikoog";2;18
"Schouwen-Duiveland";123;340
"'s-Hertogenbosch";784;1713
"Simpelveld";6;26
"Sint-Michielsgestel";37;192
"Sittard-Geleen";155;702
"Sliedrecht";95;145
"Sluis";69;201
"Smallingerland";138;1169
"Soest";70;371
"Someren";10;95
"Son en Breugel";20;100
"Stadskanaal";13;135
"Staphorst";29;51
"Stede Broec";19;93
"Steenbergen";51;129
"Steenwijkerland";48;289
"Stein";65;58
"Stichtse Vecht";296;557
"Súdwest-Fryslân";105;519
"Terneuzen";65;244
"Terschelling";114;105
"Texel";80;208
"Teylingen";113;413
"Tholen";68;134
"Tiel";167;443
"Tilburg";771;3332
"Tubbergen";21;145
"Twenterand";32;94
"Tynaarlo";50;1458
"Tytsjerksteradiel";33;200
"Uitgeest";45;83
"Uithoorn";92;231
"Urk";24;93
"Utrecht";1616;4780
"Utrechtse Heuvelrug";182;488
"Vaals";24;47
"Valkenburg aan de Geul";27;147
"Valkenswaard";25;201
"Veendam";24;86
"Veenendaal";219;416
"Veere";119;215
"Veldhoven";90;188
"Velsen";148;462
"Venlo";200;593
"Venray";52;197
"Vijfheerenlanden";152;435
"Vlaardingen";203;281
"Vlieland";3;14
"Vlissingen";41;187
"Voerendaal";10;64
"Voorne aan Zee";253;505
"Voorschoten";79;132
"Voorst";53;149
"Vught";122;245
"Waadhoeke";15;228
"Waalre";41;138
"Waalwijk";122;343
"Waddinxveen";118;222
"Wageningen";135;206
"Wassenaar";109;280
"Waterland";51;214
"Weert";67;229
"West Betuwe";154;1539
"West Maas en Waal";12;134
"Westerkwartier";82;441
"Westerveld";30;147
"Westervoort";3;71
"Westerwolde";8;90
"Westland";361;837
"Weststellingwerf";34;133
"Wierden";20;393
"Wijchen";111;263
"Wijdemeren";50;165
"Wijk bij Duurstede";30;200
"Winterswijk";17;214
"Woensdrecht";28;98
"Woerden";276;425
"Wormerland";42;123
"Woudenberg";33;135
"Zaanstad";394;868
"Zaltbommel";69;193
"Zandvoort";43;145
"Zeewolde";58;148
"Zeist";327;760
"Zevenaar";98;279
"Zoetermeer";449;759
"Zoeterwoude";63;60
"Zuidplas";132;329
"Zundert";28;81
"Zutphen";107;285
"Zwartewaterland";47;128
"Zwijndrecht";112;168
"Zwolle";475;691
"Onbekend";"";109
